n,original,reconstructed,freq
0,714,720.1472206877238,20.58854367543172
1,714,738.9654161257836,20.58854367543172
2,714,723.9262215576866,20.58854367543172
3,715,696.1334507864167,20.58854367543172
4,715,693.4806222105129,20.58854367543172
5,714,718.6087123390855,20.58854367543172
6,708,735.1001266106931,20.58854367543172
7,708,717.4127717726363,20.58854367543172
8,707,686.9924795842045,20.58854367543172
9,708,684.4876005162469,20.58854367543172
10,707,714.079071669306,20.58854367543172
11,707,735.6243526484533,20.58854367543172
12,707,718.0039185755099,20.58854367543172
13,708,683.3788698857545,20.58854367543172
14,707,680.1522988284352,20.58854367543172
15,707,716.5564994054758,20.58854367543172
16,707,744.124947903544,20.58854367543172
17,707,719.882390891102,20.58854367543172
18,707,670.1901850613039,20.58854367543172
19,708,666.7529719606581,20.58854367543172
20,708,731.9145593355037,20.58854367543172
21,708,786.9155628897893,20.58854367543172
22,708,717.3459464671488,20.58854367543172
23,708,493.6580301737628,20.58854367543172
24,20,213.8350969765858,20.58854367543172
25,20,18.115645551923546,20.58854367543172
26,20,-33.54365290143341,20.58854367543172
27,20,4.77768018408594,20.58854367543172
28,20,41.01704321090103,20.58854367543172
29,20,35.544817985686386,20.58854367543172
30,20,13.476121488016943,20.58854367543172
31,20,8.789332623684226,20.58854367543172
32,20,20.696989561027674,20.58854367543172
33,20,27.065006558706692,20.58854367543172
34,20,20.62198207799578,20.58854367543172
35,20,14.912510444174579,20.58854367543172
36,20,19.349484328694643,20.58854367543172
37,20,25.160529988065655,20.58854367543172
38,20,21.524652021902263,20.58854367543172
39,20,14.164479568312293,20.58854367543172
40,20,16.851372295155134,20.58854367543172
41,26,29.003947249678546,20.58854367543172
42,26,34.535456210130306,20.58854367543172
43,26,25.458918552236284,20.58854367543172
44,26,15.388391249731882,20.58854367543172
45,26,20.868223853323027,20.58854367543172
46,27,35.96706166675244,20.58854367543172
47,26,38.47585634281635,20.58854367543172
48,26,22.064115212337782,20.58854367543172
49,25,8.651421557671682,20.58854367543172
50,26,19.40045340955132,20.58854367543172
51,26,42.19391442309285,20.58854367543172
52,26,44.17861895315217,20.58854367543172
53,26,18.007592304549675,20.58854367543172
54,27,-1.6166969856166107,20.58854367543172
55,26,18.38032218931237,20.58854367543172
56,26,57.87130747861438,20.58854367543172
57,26,58.599573207379144,20.58854367543172
58,26,1.4606567604174634,20.58854367543172
59,26,-45.290492717021905,20.58854367543172
60,26,22.420355895918735,20.58854367543172
61,26,236.96785098554642,20.58854367543172
62,714,512.286695000418,20.58854367543172
63,714,713.8737485550358,20.58854367543172
64,715,774.3011804539335,20.58854367543172
65,715,736.6506253473254,20.58854367543172
66,714,692.3496739525132,20.58854367543172
67,715,691.4580532219663,20.58854367543172
68,715,717.1159991702152,20.58854367543172
69,715,730.8615127269115,20.58854367543172
70,714,721.7449123762758,20.58854367543172
