n,original,reconstructed,freq
260,125,72.43422903721715,17.93
261,125,72.4343281186364,17.93
262,125,72.26458389686186,17.93
263,125,71.92464374034675,17.93
264,125,71.41456351926139,17.93
265,125,70.73480918958438,17.93
266,125,69.88625737466644,17.93
267,305,68.87019493904292,17.93
268,305,67.6883175517682,17.93
269,305,66.34272723905808,17.93
270,305,64.83592892854777,17.93
271,305,63.170825989995926,17.93
272,305,61.35071477978583,17.93
273,305,59.37927819908321,17.93
274,305,57.260578278003464,17.93
275,305,54.99904780060998,17.93
276,305,52.5994809880062,17.93
277,305,50.067023259188154,17.93
278,305,47.40716009168743,17.93
279,305,44.6257050063502,17.93
280,305,41.72878670285901,17.93
281,304,38.72283537480592,17.93
282,305,35.614568235263334,17.93
283,305,32.410974285863446,17.93
284,305,29.119298364388136,17.93
285,305,25.74702450777869,17.93
286,305,22.301858669297108,17.93
287,305,18.791710830300957,17.93
288,305,15.224676548729,17.93
289,304,11.609017987928747,17.93
290,133,7.953144470887734,17.93
291,134,4.26559260625203,17.93
292,133,0.5550060337253138,17.93
293,133,-3.169885162462485,17.93
294,133,-6.900285322352768,17.93
295,19,-10.627354310800879,17.93
296,19,-14.342228798511409,17.93
297,20,-18.036043671707347,17.93
298,20,-21.699953518095267,17.93
299,19,-25.32515413643924,17.93
300,19,-28.902904016836725,17.93
301,20,-32.42454573870107,17.93
302,19,-35.88152723350011,17.93
303,19,-39.26542285947448,17.93
304,19,-42.56795423586803,17.93
305,19,-45.78101078464114,17.93
306,19,-48.896669928208304,17.93
307,18,-51.90721689244022,17.93
308,19,-54.805164064999374,17.93
309,19,-57.58326986003139,17.93
310,19,-60.23455704131497,17.93
311,19,-62.752330457172704,17.93
312,19,-65.13019414176665,17.93
313,19,-67.3620677388391,17.93
314,19,-69.44220220550909,17.93
315,19,-71.36519475539522,17.93
316,19,-73.1260030021004,17.93
317,19,-74.7199582659613,17.93
318,19,-76.14277800892958,17.93
319,18,-77.39057736450862,17.93
320,19,-78.4598797318136,17.93
