timestamp,pin,valore
1761165848.3516736,A0,8
1761165848.3516736,A1,909
1761165848.472897,A0,909
1761165848.472897,A1,8
1761165848.5015566,A0,13
1761165848.5015566,A1,14
1761165848.5694485,A0,8
1761165848.5694485,A1,910
1761165848.6658316,A0,906
1761165848.6658316,A1,8
1761165848.7613027,A0,906
1761165848.7613027,A1,8
1761165848.8572183,A0,8
1761165848.8572183,A1,909
1761165848.9688966,A0,940
1761165848.9688966,A1,957
1761165849.0647755,A0,905
1761165849.0647755,A1,8
1761165849.1606874,A0,14
1761165849.1606874,A1,14
1761165849.273046,A0,938
1761165849.273046,A1,965
1761165849.3682754,A0,906
1761165849.3682754,A1,9
1761165849.4645174,A0,14
1761165849.4645174,A1,13
1761165849.5601335,A0,8
1761165849.5601335,A1,909
1761165849.6723006,A0,966
1761165849.6723006,A1,944
1761165849.7677662,A0,13
1761165849.7677662,A1,14
1761165849.8641248,A0,14
1761165849.8641248,A1,14
1761165849.975945,A0,946
1761165849.975945,A1,961
1761165850.0716755,A0,14
1761165850.0716755,A1,13
1761165850.1671462,A0,14
1761165850.1671462,A1,14
1761165850.263342,A0,945
1761165850.263342,A1,966
1761165850.3752313,A0,972
1761165850.3752313,A1,945
1761165850.4707274,A0,14
1761165850.4707274,A1,14
1761165850.566585,A0,906
1761165850.566585,A1,8
1761165850.6788244,A0,938
1761165850.6788244,A1,940
1761165850.7746181,A0,9
1761165850.7746181,A1,910
1761165850.8701084,A0,13
1761165850.8701084,A1,14
1761165850.9660692,A0,906
1761165850.9660692,A1,8
1761165851.0782182,A0,7
1761165851.0782182,A1,910
1761165851.174071,A0,14
1761165851.174071,A1,909
1761165851.2695389,A0,907
1761165851.2695389,A1,8
1761165851.3814452,A0,8
1761165851.3814452,A1,909
1761165851.4774344,A0,8
1761165851.4774344,A1,910
1761165851.573485,A0,906
1761165851.573485,A1,9
1761165851.6687768,A0,905
1761165851.6687768,A1,8
1761165851.780672,A0,9
1761165851.780672,A1,910
1761165851.877067,A0,945
1761165851.877067,A1,933
1761165851.972527,A0,908
1761165851.972527,A1,8
1761165852.0842738,A0,8
1761165852.0842738,A1,910
1761165852.1804807,A0,939
1761165852.1804807,A1,961
1761165852.2762263,A0,906
1761165852.2762263,A1,9
1761165852.3722587,A0,14
1761165852.3722587,A1,14
1761165852.4837587,A0,8
1761165852.4837587,A1,910
1761165852.5800064,A0,971
